"state","inc1","inc2","inc3","inc4","rent1","rent2","rent3","rent4","mf1","mf2","mf3","mf4","nw1","nw2","nw3","nw4"
"CO",123,117,3891204.5,"~0",2.5,22.4,481.3,"~0",1.6,30.2,1487.2,"~0",24,8,54.1,"~0"
"DC",145,144.5,389574,"0.17",5.3,28.7,161.4,"~0",11.9,75.5,763.6,"~0",65.4,67.7,0.6,"0.43"
"IL",96,84,100258274.5,"~0",3,18.7,1283.1,"~0",5.4,37.7,3793.9,"~0",44.5,28.5,808.8,"~0"
"MA",127,97,7670344,"~0",5.6,36.3,1349.1,"~0",11.4,48.8,1540.3,"~0",27.7,26.7,0.7,"0.4"
"MD",142,99,15847521.5,"~0",1.9,30.1,1490.2,"~0",1.9,36.8,2286.6,"~0",55.7,22.4,1551.5,"~0"
"ME",107,78,9591935,"~0",5,8.5,15.4,"~0",5.3,16.9,122.8,"~0",0.7,1.5,5.5,"0.02"
"MN",122,94,795252,"~0",1.6,5.3,0.1,"0.71",1.9,5.8,25.9,"~0",8.5,10.3,1.6,"0.21"
"NJ",123,99,3494023.5,"~0",4.3,13.5,85.9,"~0",5.5,6,0.2,"0.68",43.2,5,299.8,"~0"
"NY",124,66,96971065,"~0",10.8,27,1171.8,"~0",29.2,29.3,0,"0.93",51.9,13.9,6538.8,"~0"
"OR",113,94,9090814,"~0",3.2,18.1,554.1,"~0",1.5,23.4,1651.7,"~0",10.1,11.3,2.2,"0.14"
"RI",96,97,2106430.5,"0.24",6,10.5,19.3,"~0",13.5,26.9,101.6,"~0",27.7,5.6,195.4,"~0"
