"state","a1","a2","a3","a4","b1","b2","b3","b4","h1","h2","h3","h4"
"CO",3.1,3.3,0,"0.98",3,1,4.7,"0.03",17.8,3.8,52.2,"~0"
"DC",2.6,9.8,44.2,"~0",59,50.5,8.9,"~0",3.5,6.8,8,"~0"
"IL",5,3.8,25.2,"~0",14.9,14.6,0.3,"0.59",24.6,9.3,1345.9,"~0"
"MA",5.6,9.5,40.3,"~0",8.5,3.9,44,"~0",13,12.6,0.2,"0.7"
"MD",7,6.4,2.2,"0.14",36.8,10.2,1368.6,"~0",11.6,5.5,163.7,"~0"
"ME",0.2,0.6,2.9,"0.09",0.1,0.3,1.5,"0.21",0.4,0.5,0.1,"0.82"
"MN",3.8,0,17.2,"~0",2.8,10.3,69.1,"~0",1.8,0,7.2,"0.01"
"NJ",9.7,0.8,46.1,"~0",12.4,0.2,69.6,"~0",21.1,4,88.2,"~0"
"NY",11.8,2.5,1401.5,"~0",24.5,5.1,3132,"~0",14.7,5.8,868,"~0"
"OR",3.8,2.8,4.8,"0.03",0.2,0.5,9.7,"~0",5.9,7.8,10.2,"~0"
"RI",1.9,1.8,0,"0.92",2.7,0.2,19.1,"~0",22.4,3.4,168.7,"~0"
